"Status";"Add.";"SNAdd.";"BN";"LD";"DoC"
"293";"폐업";"서울특별시 성북구 상월곡동 28-98 ";"서울특별시 성북구 장월로 18-1  (상월곡동)";"돼지석유";1980-10-17;"20080101"
"294";"폐업";"서울특별시 양천구 신정동 1027-4 ";"서울특별시 양천구 신월로 328 (신정동)";"(주) 한주에너지 신정주유소";1980-11-06;NA
"295";"영업/정상";"서울특별시 양천구 신월동 52-1";"서울특별시 양천구 남부순환로 317 (신월동)";"플라트(주) 서호주유소";1980-11-06;NA
"296";"폐업";"서울특별시 서초구 방배동 488-6 ";"서울특별시 서초구 남부순환로 2205  (방배동)";"방배주유소";1980-12-11;NA
"297";"폐업";"서울특별시 성북구 길음동 912-4 ";"서울특별시 성북구 삼양로8길 25  (길음동)";"대경에너지";1980-12-31;"20080101"
"298";"폐업";"서울특별시 서초구 우면동 32 ";"서울특별시 서초구 바우뫼로11길 60  (우면동)";"대호석유판매";1981-01-31;NA
"299";"폐업";"서울특별시 동작구 흑석동 205-3 ";"서울특별시 동작구 흑석로7길 3 (흑석동)";"중앙에너지";1981-06-29;"20171024"
"300";"폐업";"서울특별시 양천구 목동 405-271 ";NA;"SK네트웍스(주)신평주유소";1981-07-01;NA
"301";"휴업";"서울특별시 양천구 신월동 525-1";"서울특별시 양천구 남부순환로 553 (신월동)";"에이치디현대오일뱅크(주)직영 남부순환셀프주유소";1981-08-31;NA
"302";"영업/정상";"서울특별시 강남구 신사동 575-1";"서울특별시 강남구 압구정로 154 (신사동)";"(주)새서울 주유소";1981-09-02;NA
"303";"영업/정상";"서울특별시 강서구 화곡동 877-1";"서울특별시 강서구 곰달래로 166 (화곡동)";"중앙석유";1981-10-15;NA
"304";"영업/정상";"서울특별시 마포구 염리동 488";"서울특별시 마포구 숭문16길 28 (염리동)";"우신석유상사";1981-10-27;NA
"305";"폐업";"서울특별시 마포구 합정동 427-19 ";"서울특별시 마포구 월드컵로 39-1 (합정동)";"공명사";1981-11-05;"20120307"
"306";"영업/정상";"서울특별시 관악구 남현동 602-306";"서울특별시 관악구 과천대로 921 (남현동)";"SK에너지(주) 대공원주유소";1982-03-17;NA
"307";"폐업";"서울특별시 서초구 방배동 935-42 ";"서울특별시 서초구 방배로 137  (방배동)";"현대오일뱅크(주)삼익주유소";1982-04-02;NA
"308";"폐업";"서울특별시 강동구 천호동 31-10,11 ";"서울특별시 강동구 양재대로 1587 (천호동)";"동일석유㈜직영황금주유소";1982-04-20;"20150801"
"309";"폐업";"서울특별시 강남구 역삼동 605-7 ";"서울특별시 강남구 봉은사로24길 8  (역삼동)";"대동석유";1982-04-22;NA
"310";"폐업";"서울특별시 강남구 역삼동 836-69 ";"서울특별시 강남구 도곡로7길 11 (역삼동)";"현대석유얼음";1982-04-22;"20161010"
"311";"폐업";"서울특별시 광진구 중곡동 624-22 ";"서울특별시 광진구 긴고랑로8길 72  (중곡동)";"동계석유";1982-05-26;NA
"312";"폐업";"서울특별시 광진구 중곡동 290-4    ";NA;"신용석유";1982-06-10;NA
"313";"폐업";"서울특별시 성북구 정릉동 289-41 ";"서울특별시 성북구 보국문로 86  (정릉동)";"호남석유";1982-06-21;"20080101"
"314";"영업/정상";"서울특별시 성동구 성수동2가 331-27 ";"서울특별시 성동구 뚝섬로 408-7 (성수동2가)";"동남 석유";1982-07-02;NA
"315";"폐업";"서울특별시 금천구 독산동 1061-36 9통1반 (금당길 22)";"서울특별시 금천구 시흥대로94길 28 (독산동)";"독산대흥석유";1982-07-10;"20230103"
"316";"폐업";"서울특별시 은평구 갈현동 494-15 ";"서울특별시 은평구 갈현로 216  (갈현동)";"형제석유";1982-07-20;NA
"317";"폐업";"서울특별시 성북구 길음동 502-40 ";"서울특별시 성북구 숭인로8길 83 (길음동)";"대지석유";1982-07-26;"20150721"
"318";"폐업";"서울특별시 성북구 종암동 106-30 ";NA;"미도석유";1982-08-02;"20071011"
"319";"폐업";"서울특별시 광진구 화양동 2-12  ";NA;"삼원석유";1982-08-10;NA
"320";"폐업";"서울특별시 성북구 길음동 518-1 ";"서울특별시 성북구 동소문로43가길 6  (길음동)";"종암석유";1982-08-27;"20080101"
"321";"폐업";"서울특별시 종로구 창신동 629-3 ";"서울특별시 종로구 창신길 125  (창신동)";"창신석유";1982-09-03;NA
"322";"폐업";"서울특별시 성동구 행당동 298-5 ";NA;"행당소비조합 석유";1982-10-29;NA
"323";"취소/말소/만료/정지/중지";"서울특별시 금천구 가산동 149-1 (용주길 37) ";"서울특별시 금천구 시흥대로153길 71 (가산동)";"신안석유";1982-11-02;NA
"324";"폐업";"서울특별시 성북구 길음동 1251 ";"서울특별시 성북구 삼양로 25-1  (길음동)";"대한석유";1982-11-24;"20090710"
"325";"폐업";"서울특별시 은평구 구파발동 89-5   ";NA;"부흥에너지";1983-01-06;NA
"326";"폐업";"서울특별시 동작구 사당동 708-395 ";"서울특별시 동작구 사당로17길 2  (사당동)";"현대석유";1983-01-07;NA
"327";"폐업";"서울특별시 동작구 사당동 141-44 ";"서울특별시 동작구 사당로29가길 32  (사당동)";"(주)세경에너지 이화석유";1983-01-07;"20101015"
"328";"폐업";"서울특별시 강동구 암사동 441-14 ";"서울특별시 강동구 고덕로 39 (암사동)";"아세아석유(주)고덕주유소";1983-02-02;"19830202"
"329";"폐업";"서울특별시 용산구 보광동 265-385 ";"서울특별시 용산구 우사단로4길 15-1 (보광동)";"신일석유";1983-02-19;"20121025"
"330";"폐업";"서울특별시 성북구 석관동 350-1 ";"서울특별시 성북구 돌곶이로 77  (석관동)";"석동상사";1983-03-24;"20080101"
"331";"폐업";"서울특별시 강서구 화곡동 1065-9 ";"서울특별시 강서구 화곡로 157  (화곡동)";"sk네트웍스(주)성하주유소";1983-04-01;"20090603"
"332";"폐업";"서울특별시 은평구 응암동 625-1 ";"서울특별시 은평구 백련산로 63  (응암동)";"한일석유";1983-07-25;NA
"333";"폐업";"서울특별시 강남구 신사동 590-16 ";"서울특별시 강남구 논현로152길 13  (신사동)";"신사석유";1983-08-23;NA
"334";"폐업";"서울특별시 동대문구 용두동 119-42 ";NA;"삼표석유";1983-09-09;NA
"335";"영업/정상";"서울특별시 동대문구 전농동 680-3";"서울특별시 동대문구 답십리로15길 23 (전농동)";"구산에너지";1983-09-13;NA
"336";"영업/정상";"서울특별시 동대문구 제기동 1024";"서울특별시 동대문구 정릉천동로 105 (제기동)";"천일에너지";1983-09-14;NA
"337";"폐업";"서울특별시 성북구 삼선동4가 339 ";"서울특별시 성북구 보문로35길 3  (삼선동4가)";"남양석유";1983-09-28;"20080701"
"338";"폐업";"서울특별시 동대문구 장안동 363-5 ";NA;"LG석유";1983-11-04;"20090527"
"339";"영업/정상";"서울특별시 성북구 종암동 30-24";"서울특별시 성북구 종암로 12 (종암동)";"에이치디현대오일뱅크(주)직영 고대셀프주유소";1983-12-10;NA
"340";"폐업";"서울특별시 중구 을지로3가 95-19 ";"서울특별시 중구 충무로11길 17 (을지로3가)";"영진석유상사";1983-12-20;"20080104"
"341";"폐업";"서울특별시 중구 인현동1가 15-7 ";"서울특별시 중구 을지로20길 24-6 (인현동1가)";"삼풍석유";1983-12-20;"20191218"
"342";"폐업";"서울특별시 중구 남창동 205-24 ";"서울특별시 중구 퇴계로4길 6 (남창동)";"광성석유";1983-12-20;"20190415"
"343";"폐업";"서울특별시 중구 황학동 615 ";"서울특별시 중구 퇴계로87길 17-10 (황학동)";"중앙석유상사";1983-12-20;"20210414"
"344";"폐업";"서울특별시 중구 만리동2가 216 ";NA;"만리석유";1983-12-20;"20041013"
"345";"폐업";"서울특별시 영등포구 영등포동7가 81-2 ";"서울특별시 영등포구 국회대로52길 8-1 (영등포동7가)";"대광석유";1984-03-28;"20131004"
"346";"영업/정상";"서울특별시 서초구 잠원동 13-6";"서울특별시 서초구 나루터로 83 (잠원동)";"지에스칼텍스(주)남서울주유소";1984-04-02;NA
"347";"폐업";"서울특별시 동대문구 휘경동 183-141 ";NA;"대한에너비스(주)";1984-04-10;"20100525"
"348";"폐업";"서울특별시 중구 황학동 1781 ";"서울특별시 중구 마장로9길 34 (황학동)";"영미연료";1984-04-19;"20040519"
"349";"폐업";"서울특별시 동작구 사당동 1028-28 ";"서울특별시 동작구 동작대로9가길 14 (사당동)";"동남석유";1984-05-09;NA
"350";"폐업";"서울특별시 동작구 사당동 1028-28 ";"서울특별시 동작구 동작대로9가길 14 (사당동)";"팔팔석유";1984-05-09;NA
"351";"폐업";"서울특별시 용산구 이태원동 130-8 ";"서울특별시 용산구 이태원로26길 17 (이태원동)";"금강석유";1984-06-01;"20190927"
"352";"영업/정상";"서울특별시 강서구 가양동 58-2";"서울특별시 강서구 양천로 391 (가양동)";"에이치디현대오일뱅크(주) 직영 가양주유소";1984-07-05;NA
"353";"영업/정상";"서울특별시 동대문구 제기동 779";"서울특별시 동대문구 고산자로 502 (제기동)";"성동사석유";1984-07-19;NA
"354";"폐업";"서울특별시 광진구 자양동 49-173 ";NA;"서진석유";1984-08-14;NA
"355";"폐업";"서울특별시 광진구 자양동 638-18 ";"서울특별시 광진구 뚝섬로52길 29  (자양동)";"자원석유";1984-08-14;NA
"356";"폐업";"서울특별시 광진구 구의동 226-5 ";"서울특별시 광진구 구의로 61  (구의동)";"대한석유";1984-08-14;NA
"357";"영업/정상";"서울특별시 서초구 양재동 216 ";"서울특별시 서초구 양재대로 173 (양재동)";"대신석유(주) 대우주유소";1984-09-08;NA
"358";"폐업";"서울특별시 동대문구 답십리동 478-10 ";NA;"안동석유";1984-09-12;"20090617"
"359";"영업/정상";"서울특별시 동대문구 이문동 238-5";"서울특별시 동대문구 신이문로 25-1 (이문동)";"대신석유";1984-09-18;NA
"360";"폐업";"서울특별시 동작구 흑석동 100-46 ";"서울특별시 동작구 서달로 157  (흑석동)";"명수석유";1984-10-08;NA
"361";"영업/정상";"서울특별시 강남구 개포동 1164-2";"서울특별시 강남구 양재대로 339 (개포동)";"대양산업(주)개포주유소";1984-10-15;NA
"362";"폐업";"서울특별시 강남구 대치동 940-13 ";"서울특별시 강남구 도곡로 435  (대치동)";"동원주유소";1984-10-15;NA
"363";"폐업";"서울특별시 서초구 방배동 1007-4 ";"서울특별시 서초구 남부순환로 2335  (방배동)";"은행나무주유소";1984-10-23;NA
"364";"영업/정상";"서울특별시 서초구 우면동 13-6 태봉주유소";"서울특별시 서초구 태봉로 117, 태봉주유소 101,201호 (우면동)";"태봉주유소";1984-10-23;NA
"365";"폐업";"서울특별시 성동구 성수동2가 278-16 ";"서울특별시 성동구 아차산로11길 452 (성수동2가)";"대유 상사";1984-10-25;"20030923"
"366";"영업/정상";"서울특별시 서초구 양재동 81 ";"서울특별시 서초구 바우뫼로 178 (양재동)";"서울석유(주)양재주유소";1984-11-22;NA
"367";"폐업";"서울특별시 강남구 개포동 167-9 ";"서울특별시 강남구 선릉로 34 (개포동)";"동일석유(주)직영 남부주유소";1984-12-26;"20200803"
"368";"영업/정상";"서울특별시 성북구 장위동 75-114 ";"서울특별시 성북구 돌곶이로 147 (장위동)";"신용석유";1985-02-28;NA
"369";"영업/정상";"서울특별시 구로구 가리봉동 9-1    ";NA;"제일석유";1985-03-11;NA
"370";"폐업";"서울특별시 서대문구 북가좌동 418-20 ";NA;"서문이동석유";1985-03-26;"20090227"
"371";"영업/정상";"서울특별시 강남구 대치동 904-13 ";"서울특별시 강남구 역삼로 449 (대치동)";"GS동원석유";1985-04-19;NA
"372";"폐업";"서울특별시 송파구 가락동 600 ";"서울특별시 송파구 양재대로 932  (가락동)";"흥진유업(주)가락동주유소";1985-04-20;"20111215"
"373";"영업/정상";"서울특별시 중구 신당동 165-1";"서울특별시 중구 퇴계로90길 47 (신당동)";"신당석유";1985-05-13;NA
"374";"영업/정상";"서울특별시 동작구 노량진동 302-259 ";"서울특별시 동작구 장승배기로19길 34 (노량진동)";"유니언마켓팅";1985-05-30;NA
"375";"취소/말소/만료/정지/중지";"서울특별시 구로구 개봉동 62-19 ";"서울특별시 구로구 고척로19길 16  (개봉동)";"한서유화";1985-06-05;NA
"376";"폐업";"서울특별시 구로구 구로동 609-1 한성상가 B동 407호";"서울특별시 구로구 경인로55길 51, B동 407호 (구로동,한성상가)";"삼협실업";1985-06-05;NA
"377";"폐업";"서울특별시 서대문구 북아현동 159-37 ";NA;"사우디석유";1985-06-19;NA
"378";"폐업";"서울특별시 강남구 도곡동 543-2 ";"서울특별시 강남구 도곡로 208 (도곡동)";"에스케이네트웍스(주)진달래주유소";1985-06-20;"20120216"
"379";"영업/정상";"서울특별시 송파구 잠실동 305-11";"서울특별시 송파구 도곡로 438 (잠실동)";"(주)삼표에너지 아시아주유소";1985-06-21;NA
"380";"폐업";"서울특별시 성북구 종암동 124-21 ";"서울특별시 성북구 정릉로 444-1  (종암동)";"동아석유";1985-07-02;"20080101"
"381";"폐업";"서울특별시 동대문구 장안동 398-10 ";NA;"신아상사";1985-07-19;"20100204"
"382";"폐업";"서울특별시 송파구 삼전동 133-1 ";"서울특별시 송파구 삼학사로 65 (삼전동)";"세광석유";1985-07-23;"20130729"
"383";"폐업";"서울특별시 성동구 응봉동 234-1 ";NA;"한양 석유";1985-08-05;NA
"384";"영업/정상";"서울특별시 구로구 구로동 106-5";"서울특별시 구로구 가마산로 293 (구로동)";"에이치디현대오일뱅크(주) 직영 신구로주유소";1985-08-26;NA
"385";"영업/정상";"서울특별시 중구 주교동 108";"서울특별시 중구 을지로27길 34 (주교동)";"서울석유";1985-08-27;NA
"386";"폐업";"서울특별시 금천구 독산동 999-4 (두산초등2길 5) ";"서울특별시 금천구 범안로11길 65 (독산동)";"중동석유";1985-09-30;"20070820"
"387";"폐업";"서울특별시 마포구 아현동 611-7 ";NA;"삼표석유";1985-10-18;"20090203"
"388";"폐업";"서울특별시 성북구 석관동 58-315 ";"서울특별시 성북구 돌곶이로8길 60  (석관동)";"동보석유";1985-11-05;"20070405"
"389";"폐업";"서울특별시 성동구 성수동2가 277-55 ";NA;"진영 석유(주)";1986-01-30;"20120130"
"390";"폐업";"서울특별시 송파구 오금동 129-6";"서울특별시 송파구 동남로 298 (오금동)";"(주) 남경석유 세영주유소";1986-02-21;"20220729"
"391";"폐업";"서울특별시 송파구 거여동 26-1";"서울특별시 송파구 거마로 5 (거여동)";"현대오일뱅크(주)직영 거여셀프주유소";1986-03-05;"20220530"
"392";"폐업";"서울특별시 송파구 방이동 226-10 ";"서울특별시 송파구 오금로 241 (방이동)";"(주)태림석유강동주유소";1986-03-05;"20160212"
"393";"영업/정상";"서울특별시 중구 신당동 122-12";"서울특별시 중구 다산로42나길 10 (신당동)";"대호에너지";1986-03-25;NA
"394";"폐업";"서울특별시 성동구 금호동3가 1257-4 ";"서울특별시 성동구 금호산길 26  (금호동3가)";"대성 석유";1986-05-14;"20111125"
"395";"영업/정상";"서울특별시 강북구 번동 428-38";"서울특별시 강북구 한천로 918 (번동)";"세원주유소";1986-06-20;NA
"396";"영업/정상";"서울특별시 강남구 신사동 638";"서울특별시 강남구 압구정로 302 (신사동)";"에이치디현대오일뱅크(주)직영 한양주유소";1986-06-20;NA
"397";"영업/정상";"서울특별시 강북구 수유동 277-20";"서울특별시 강북구 삼양로 484 (수유동)";"대성석유(주)신광주유소";1986-07-09;NA
"398";"영업/정상";"서울특별시 금천구 가산동 535-155 (서부샛길 33)";"서울특별시 금천구 서부샛길 674 (가산동)";"구광주유소";1986-07-22;NA
"399";"영업/정상";"서울특별시 성북구 장위동 219-43 ";"서울특별시 성북구 월계로 128 (장위동)";"SK에너지(주) 드림랜드주유소";1986-07-31;NA
"400";"폐업";"서울특별시 서대문구 북가좌동 327-12 ";"서울특별시 서대문구 응암로 101 (북가좌동)";"SK네트웍스(주)평화주유소";1986-08-14;"20171129"
"401";"폐업";"서울특별시 구로구 고척동 189 ";"서울특별시 구로구 고척로 239 (고척동)";"고척주유소";1986-09-13;"20150212"
"402";"휴업";"서울특별시 구로구 고척동 189 ";"서울특별시 구로구 고척로 239  (고척동)";"SK네트웍스(주) 고척주유소";1986-09-13;NA
"403";"폐업";"서울특별시 강남구 논현동 183-8 ";"서울특별시 강남구 강남대로118길 26  (논현동)";"조양석유";1986-10-04;NA
"404";"폐업";"서울특별시 용산구 한강로2가 311-1 ";"서울특별시 용산구 한강대로39길 5  (한강로2가)";"나정석유";1986-10-23;NA
"405";"폐업";"서울특별시 동대문구 이문동 255-119 ";NA;"신사3주유소";1986-11-04;"20000101"
"406";"폐업";"서울특별시 강서구 화곡동 1082-25 ";"서울특별시 강서구 화곡로20길 19  (화곡동)";"대성석유상사";1986-11-05;"20130628"
"407";"폐업";"서울특별시 강남구 논현동 141-17 ";"서울특별시 강남구 학동로4길 8  (논현동)";"영광석유";1986-11-10;NA
"408";"폐업";"서울특별시 강서구 등촌동 566-28 외4필지 ";"서울특별시 강서구 등촌로 65 (등촌동)";"SK네트웍스(주)동방주유소";1986-11-17;"20171101"
"409";"폐업";"서울특별시 은평구 갈현동 428-4 ";"서울특별시 은평구 갈현로 270  (갈현동)";"이원유업";1986-12-09;NA
"410";"영업/정상";"서울특별시 도봉구 방학동 668-10 ";"서울특별시 도봉구 방학로 186 (방학동)";"지에스칼텍스(주) 방학동주유소";1986-12-30;NA
"411";"영업/정상";"서울특별시 성북구 정릉동 401-15 원천제1주유소 ";"서울특별시 성북구 보국문로 52, 원천제1주유소 (정릉동)";"이케이에너지(주) 강산제2주유소";1987-01-14;NA
"412";"폐업";"서울특별시 서대문구 남가좌동 124-382 ";NA;"종합석유상사";1987-03-13;"20081024"
"413";"영업/정상";"서울특별시 마포구 망원동 481-3 ";"서울특별시 마포구 월드컵로 119 (망원동)";"(주)안국에너지 망원동주유소";1987-04-02;NA
"414";"영업/정상";"서울특별시 광진구 자양동 677-5";"서울특별시 광진구 자양로 37 (자양동)";"에이치디현대오일뱅크(주)직영 장호셀프주유소";1987-04-09;NA
"415";"폐업";"서울특별시 금천구 시흥동 905-54 (독산동길 362) ";"서울특별시 금천구 독산로 7 (시흥동)";"형제석유";1987-04-10;NA
"416";"폐업";"서울특별시 동대문구 장안동 338-10 ";NA;"장원석유";1987-04-27;"20150317"
"417";"폐업";"서울특별시 강북구 미아동 203-2 ";"서울특별시 강북구 도봉로 233 (미아동)";"도봉로주유소";1987-04-27;"20130701"
"418";"폐업";"서울특별시 금천구 독산동 1026-18 ";"서울특별시 금천구 범안로 1247 (독산동)";"형제크리닝상사";1987-05-12;NA
"419";"영업/정상";"서울특별시 서초구 서초동 1519-6 ";"서울특별시 서초구 명달로16길 33 (서초동)";"서초에너지";1987-05-28;NA
"420";"영업/정상";"서울특별시 강동구 천호동 47-1 ";"서울특별시 강동구 천중로35길 86 (천호동)";"동부에너지";1987-05-29;NA
"421";"폐업";"서울특별시 광진구 자양동 16-25 ";"서울특별시 광진구 동일로18길 19  (자양동)";"금강석유";1987-06-19;NA
"422";"영업/정상";"서울특별시 동대문구 답십리동 483-41";"서울특별시 동대문구 천호대로67길 36 (답십리동)";"현대석유";1987-06-25;NA
"423";"폐업";"서울특별시 강남구 대치동 50-8 대치동주유소 ";"서울특별시 강남구 영동대로 202 (대치동)";"동일석유(주)대치동 주유소";1987-07-18;"20180129"
"424";"폐업";"서울특별시 강남구 대치동 50-8 ";"서울특별시 강남구 영동대로 202 (대치동)";"대치동주유소";1987-07-18;"20180129"
"425";"폐업";"서울특별시 은평구 역촌동 83-27 ";"서울특별시 은평구 연서로 23  (역촌동)";"경향에너지";1987-07-23;NA
"426";"폐업";"서울특별시 동대문구 전농동 295-478";"서울특별시 동대문구 사가정로 103 (전농동)";"동일석유(주) 강남주유소";1987-08-20;NA
"427";"폐업";"서울특별시 중랑구 면목동 50-2 ";"서울특별시 중랑구 용마산로 401 (면목동)";"면목동 주유소";1987-09-01;"20160516"
"428";"폐업";"서울특별시 중구 신당동 241-15 ";"서울특별시 중구 다산로33가길 25 (신당동)";"일광석유";1987-09-09;"20050608"
"429";"폐업";"서울특별시 구로구 구로동 426-76 ";"서울특별시 구로구 가마산로 208  (구로동)";"태양석유";1987-12-05;"20130412"
"430";"영업/정상";"서울특별시 양천구 신월동 513-5 ";"서울특별시 양천구 월정로 14 (신월동)";"한강석유";1988-01-01;NA
"431";"영업/정상";"서울특별시 양천구 신정동 1029-45 ";"서울특별시 양천구 은행정로5길 52 (신정동)";"신정석유";1988-01-01;NA
"432";"폐업";"서울특별시 양천구 신정동 884-2";"서울특별시 양천구 은행정로20길 2 (신정동)";"SK석유(석유,등유,보일러등유,실내등유,난방유,백등유)배달";1988-01-01;NA
"433";"폐업";"서울특별시 양천구 목동 546-4 ";"서울특별시 양천구 목동중앙본로28길 1  (목동)";"유경석유";1988-01-01;"20040623"
"434";"폐업";"서울특별시 양천구 목동 721-10 ";"서울특별시 양천구 목동중앙남로3가길 93  (목동)";"대신에너지";1988-01-01;"20070316"
"435";"폐업";"서울특별시 양천구 신월동 428-5 ";"서울특별시 양천구 월정로 43  (신월동)";"경창석유";1988-01-01;"20080724"
"436";"폐업";"서울특별시 양천구 신월동 136-8 ";"서울특별시 양천구 남부순환로59길 3  (신월동)";"대하석유";1988-01-01;"20070724"
"437";"폐업";"서울특별시 중랑구 면목동 501-25 ";"서울특별시 중랑구 면목로55길 6 (면목동)";"남경상사";1988-01-19;"20160715"
"438";"폐업";"서울특별시 동작구 사당동 206-6 ";"서울특별시 동작구 사당로 158 (사당동)";"팔팔주유소";1988-02-16;"20130621"
"439";"폐업";"서울특별시 종로구 이화동 13-2 ";NA;"기능석유";1988-02-27;NA
"440";"폐업";"서울특별시 중구 광희동1가 366-127 ";NA;"현대정유(주)직영 버티고개주유소";1988-03-02;"20030804"
"441";"폐업";"서울특별시 구로구 가리봉동 134-124 ";"서울특별시 구로구 디지털로20길 13  (가리봉동)";"공단석유";1988-03-02;NA
"442";"폐업";"서울특별시 관악구 신림동 1514-1 ";"서울특별시 관악구 신림로 135  (신림동)";"육일주유소";1988-03-09;"20071113"
"443";"영업/정상";"서울특별시 동작구 상도동 121-21";"서울특별시 동작구 상도로 403 (상도동)";"에이치디현대오일뱅크(주) 직영 동작주유소";1988-03-12;NA
"444";"영업/정상";"서울특별시 성북구 정릉동 404-4";"서울특별시 성북구 보국문로 35 (정릉동)";"(주)삼표에너지 정릉주유소";1988-03-16;NA
"445";"폐업";"서울특별시 양천구 신정동 183-2 ";NA;"(주)태성에너지";1988-03-29;NA
"446";"폐업";"서울특별시 양천구 목동 128-13 ";"서울특별시 양천구 목동중앙로13가길 12  (목동)";"동화산업";1988-03-29;NA
"447";"폐업";"서울특별시 양천구 신정동 985-1 ";"서울특별시 양천구 은행정로 54 (신정동)";"동화에너지";1988-04-08;"20200522"
"448";"폐업";"서울특별시 양천구 신월동 556-12 ";"서울특별시 양천구 청황길 14  (신월동)";"오성에너지";1988-04-13;"20111018"
"449";"폐업";"서울특별시 강동구 명일동 47-19 ";"서울특별시 강동구 동남로 889 (명일동)";"명일동시티주유소";1988-04-14;"20171201"
"450";"폐업";"서울특별시 광진구 중곡동 190-25   ";NA;"근대석유";1988-05-10;NA
"451";"영업/정상";"서울특별시 서초구 방배동 857-12 ";"서울특별시 서초구 방배중앙로 96 (방배동)";"방배에너지";1988-07-23;NA
"452";"폐업";"서울특별시 서초구 양재동 393-1 ";"서울특별시 서초구 논현로 23  (양재동)";"(주)중앙유업";1988-08-01;NA
"453";"폐업";"서울특별시 양천구 신월동 941-7 ";"서울특별시 양천구 지양로9길 23  (신월동)";"종점석유";1988-08-02;"20030407"
"454";"폐업";"서울특별시 광진구 구의동 546-10 ";NA;"선한에너지(주)구의동주유소";1988-08-04;"20110513"
"455";"폐업";"서울특별시 동작구 상도동 358-15 ";"서울특별시 동작구 상도로15길 76  (상도동)";"남양석유";1988-08-22;"20081107"
"456";"폐업";"서울특별시 도봉구 쌍문동 512-8 ";"서울특별시 도봉구 삼양로 630 (쌍문동)";"우이동주유소";1988-09-09;"20180424"
"457";"영업/정상";"서울특별시 강남구 삼성동 169-17";"서울특별시 강남구 테헤란로 619 (삼성동)";"삼성동주유소";1988-10-17;NA
"458";"폐업";"서울특별시 송파구 삼전동 173-11 ";"서울특별시 송파구 삼학사로3길 18 (삼전동)";"태양에너지";1988-10-17;"20170613"
"459";"폐업";"서울특별시 서대문구 창천동 53-66 ";"서울특별시 서대문구 신촌로11길 61 (창천동)";"대우석유";1988-10-25;"20160801"
"460";"폐업";"서울특별시 중구 회현동1가 94-7 ";"서울특별시 중구 퇴계로8길 9 (회현동1가)";"대진석유";1988-10-28;"20200422"
"461";"영업/정상";"서울특별시 강동구 고덕동 506-7 24통6반 ";"서울특별시 강동구 동남로83길 26 (고덕동)";"(주)서현에너지";1988-10-28;NA
"462";"영업/정상";"서울특별시 용산구 보광동 387-1";"서울특별시 용산구 장문로17길 1 (보광동)";"주식회사 금호에너지";1988-11-14;NA
"463";"폐업";"서울특별시 광진구 자양동 49-50   ";NA;"성수2상회";1988-12-26;NA
"464";"폐업";"서울특별시 은평구 진관내동 565 ";NA;"(주) 새웅주유소";1989-01-02;"20100130"
"465";"폐업";"서울특별시 관악구 봉천동 196-37 ";"서울특별시 관악구 낙성대역길 103  (봉천동)";"수민석유";1989-01-10;"20101008"
"466";"영업/정상";"서울특별시 강서구 염창동 283-4";"서울특별시 강서구 공항대로 653 (염창동)";"에이치디현대오일뱅크(주) 직영 양화교셀프주유소";1989-02-01;NA
"467";"폐업";"서울특별시 강남구 논현동 211-14 ";NA;"SK네트웍스(주)강남주유소";1989-02-01;"20100727"
"468";"폐업";"서울특별시 송파구 가락동 160-5 20통9반 ";"서울특별시 송파구 중대로 222 (가락동)";"GS칼텍스(주) 송파동해주유소";1989-03-07;"20130417"
"469";"폐업";"서울특별시 강서구 공항동 693-6 ";"서울특별시 강서구 송정로 14-8  (공항동)";"우영석유";1989-03-14;"20110706"
"470";"폐업";"서울특별시 강서구 공항동 693-6 ";"서울특별시 강서구 송정로 14-8  (공항동)";"우영석유";1989-03-14;NA
"471";"영업/정상";"서울특별시 송파구 석촌동 14-12";"서울특별시 송파구 백제고분로 289 (석촌동)";"대성석유(주)석촌주유소";1989-03-17;NA
"472";"폐업";"서울특별시 구로구 구로동 701-31 ";NA;"동일석유";1989-03-17;NA
"473";"영업/정상";"서울특별시 영등포구 신길동 220-56 ";"서울특별시 영등포구 신길로52길 1 (신길동)";"성원에너지";1989-03-17;NA
"474";"폐업";"서울특별시 영등포구 여의도동 26 ";"서울특별시 영등포구 국제금융로2길 37 (여의도동)";"SK글로벌(주)여의도주유소";1989-03-17;"20170615"
"475";"폐업";"서울특별시 영등포구 신길동 355-628 ";NA;"(주)범아에너지";1989-03-17;"20170615"
"476";"폐업";"서울특별시 송파구 문정동 112-3 ";"서울특별시 송파구 새말로 178 (문정동)";"미화주유소";1989-03-17;"20160118"
"477";"폐업";"서울특별시 종로구 평창동 195-1 ";NA;"동해석유";1989-03-30;NA
"478";"영업/정상";"서울특별시 구로구 고척동 273-47";NA;"천하에너지";1989-03-30;NA
"479";"폐업";"서울특별시 강서구 방화동 499-1";"서울특별시 강서구 양천로 13 (방화동)";"한국공항(주)";1989-04-07;"2016-04-14"
"480";"영업/정상";"서울특별시 강서구 방화동 500-3";"서울특별시 강서구 양천로 13 (방화동)";"한국공항(주)";1989-04-07;NA
"481";"폐업";"서울특별시 강서구 공항동 281 ";NA;"한국공항(주)";1989-04-07;"20201116"
"482";"영업/정상";"서울특별시 강동구 둔촌동 600-1 고속주유소";"서울특별시 강동구 천호대로 1246, 고속주유소 (둔촌동)";"(주)재건에너지 재정제2주유소 고속셀프지점";1989-04-07;NA
"483";"폐업";"서울특별시 구로구 신도림동 296-52 ";"서울특별시 구로구 신도림로15길 21-42  (신도림동)";"안성석유";1989-04-10;NA
